name,rate,priority,class_type,zip_postal_code,status
AK - (TELLER),3,0,zip-postal-code,99778,active
AK - (ALASKA),0,0,zip-postal-code,99780,active
AK - (ALASKA),0,0,zip-postal-code,99781,active
AK - (WAINWRIGHT),0,0,zip-postal-code,99782,active
AK - (WALES),3,0,zip-postal-code,99783,active
AK - (WHITE MOUNTAIN),1,0,zip-postal-code,99784,active
AK - (BREVIG MISSION),3,0,zip-postal-code,99785,active
AK - (AMBLER),3,0,zip-postal-code,99786,active
AK - (ALASKA),0,0,zip-postal-code,99788,active
AK - (NUIQSUT),0,0,zip-postal-code,99789,active
AK - (FAIRBANKS),0,0,zip-postal-code,99790,active
AK - (ATQASUK),0,0,zip-postal-code,99791,active
AK - (JUNEAU),5,0,zip-postal-code,99801,active
AK - (JUNEAU),5,0,zip-postal-code,99802,active
AK - (JUNEAU),5,0,zip-postal-code,99803,active
AK - (JUNEAU),5,0,zip-postal-code,99811,active
AK - (JUNEAU),5,0,zip-postal-code,99812,active
AK - (ANGOON),3,0,zip-postal-code,99820,active
AK - (JUNEAU),5,0,zip-postal-code,99821,active
AK - (JUNEAU),5,0,zip-postal-code,99824,active
AK - (ALASKA),0,0,zip-postal-code,99825,active
AK - (GUSTAVUS),3,0,zip-postal-code,99826,active
AK - (HAINES),5.5,0,zip-postal-code,99827,active
AK - (HOONAH),6.5,0,zip-postal-code,99829,active
AK - (KAKE),5,0,zip-postal-code,99830,active
AK - (PELICAN),4,0,zip-postal-code,99832,active
AK - (PETERSBURG BOROUGH),6,0,zip-postal-code,99833,active
AK - (SITKA),5,0,zip-postal-code,99835,active
AK - (PORT ALEXANDER),4,0,zip-postal-code,99836,active
AK - (SKAGWAY),3,0,zip-postal-code,99840,active
AK - (TENAKEE SPRINGS),2,0,zip-postal-code,99841,active
AK - (JUNEAU),5,0,zip-postal-code,99850,active
AK - (KETCHIKAN),6.5,0,zip-postal-code,99901,active
AK - (WRANGELL),7,0,zip-postal-code,99903,active
AK - (COFFMAN COVE),0,0,zip-postal-code,99918,active
AK - (THORNE BAY),6,0,zip-postal-code,99919,active
AK - (CRAIG),5,0,zip-postal-code,99921,active
AK - (HYDABURG),6,0,zip-postal-code,99922,active
AK - (ALASKA),0,0,zip-postal-code,99923,active
AK - (KLAWOCK),6.5,0,zip-postal-code,99925,active
AK - (ALASKA),0,0,zip-postal-code,99926,active
AK - (ALASKA),0,0,zip-postal-code,99927,active
AK - (KETCHIKAN GATEWAY),2.5,0,zip-postal-code,99928,active
AK - (WRANGELL),7,0,zip-postal-code,99929,active
AK - (ALASKA),0,0,zip-postal-code,99950,active
AL - (LEEDS),10,0,zip-postal-code,35004,active
AL - (ADAMSVILLE),10,0,zip-postal-code,35005,active
AL - (TUSCALOOSA),9,0,zip-postal-code,35006,active
AL - (ALABASTER),9,0,zip-postal-code,35007,active
AL - (ALEXANDER CITY),10,0,zip-postal-code,35010,active
AL - (ALEXANDER CITY),10,0,zip-postal-code,35011,active
